dataset,nr_fold,algorithm,metric
PAKDD,3,LGBM,0.187183659872262
PAKDD,3,RE_boosting,0.187507414779477
PAKDD,3,RE_RF,0.187730991824569
PAKDD,3,RE_bag,0.188231399548395
PAKDD,3,SRE_RF,0.187717877860552
PAKDD,3,SRE_bag,0.187717877860552
PAKDD,3,SRE_boosting,0.187577984183751
PAKDD,3,SRE_PLTR,0.187717877860552
PAKDD,3,PLTR,0.187829031872572
PAKDD,4,LRR,0.186961180048471
PAKDD,4,GAM,0.187218054098062
PAKDD,4,LDA,0.187432641537178
PAKDD,4,CTREE,0.187793311660722
PAKDD,4,RF,0.187774208233601
PAKDD,4,LGBM,0.18663613455971
PAKDD,4,RE_boosting,0.187701473796843
PAKDD,4,RE_RF,0.187991305839106
PAKDD,4,RE_bag,0.187815692221123
PAKDD,4,SRE_RF,0.187088197254463
PAKDD,4,SRE_bag,0.187088197254463
PAKDD,4,SRE_boosting,0.187096840572869
PAKDD,4,SRE_PLTR,0.187088197254463
PAKDD,4,PLTR,0.187159559318797
PAKDD,5,LRR,0.187155896453059
PAKDD,5,GAM,0.18756823533789
PAKDD,5,LDA,0.187944834105886
PAKDD,5,CTREE,0.188078273127769
PAKDD,5,RF,0.188165762423726
PAKDD,5,LGBM,0.186860847080907
PAKDD,5,RE_boosting,0.187051048292352
PAKDD,5,RE_RF,0.187395772259433
PAKDD,5,RE_bag,0.187818495129268
PAKDD,5,SRE_RF,0.187350265785804
PAKDD,5,SRE_bag,0.187350265785804
PAKDD,5,SRE_boosting,0.187266629940198
PAKDD,5,SRE_PLTR,0.187350265785804
PAKDD,5,PLTR,0.187445949150296
PAKDD,6,LRR,0.187367333857188
PAKDD,6,GAM,0.187309767910915
PAKDD,6,LDA,0.187759963552413
PAKDD,6,CTREE,0.188281954175524
PAKDD,6,RF,0.188482825166531
PAKDD,6,LGBM,0.186875175905248
PAKDD,6,RE_boosting,0.187298911108287
PAKDD,6,RE_RF,0.18766577186893
PAKDD,6,RE_bag,0.187708945631272
PAKDD,6,SRE_RF,0.187700909045096
PAKDD,6,SRE_bag,0.187700909045096
PAKDD,6,SRE_boosting,0.187337640990308
PAKDD,6,SRE_PLTR,0.187700909045096
PAKDD,6,PLTR,0.187784544496069
TC,1,LRR,0.147920947440392
TC,1,GAM,0.14878112815029
TC,1,LDA,0.14931791013915
TC,1,CTREE,0.141762301236084
TC,1,RF,0.142088980612288
TC,1,LGBM,0.143149777489299
TC,1,RE_boosting,0.138337617402619
TC,1,RE_RF,0.139698037635675
TC,1,RE_bag,0.141132396905098
TC,1,SRE_RF,0.139651776907396
TC,1,SRE_bag,0.14216209155609
TC,1,SRE_boosting,0.138623090905717
TC,1,SRE_PLTR,0.140775025520112
TC,1,PLTR,0.14079120517783
TC,2,LRR,0.143045053183901
TC,2,GAM,0.141214970938587
TC,2,LDA,0.143588719862864
TC,2,CTREE,0.137471624044909
TC,2,RF,0.136048968070069
TC,2,LGBM,0.138849692204802
TC,2,RE_boosting,0.135445075003219
TC,2,RE_RF,0.134983207827067
TC,2,RE_bag,0.136708048172262
TC,2,SRE_RF,0.1342329152787
TC,2,SRE_bag,0.137682757586645
TC,2,SRE_boosting,0.133781455638741
TC,2,SRE_PLTR,0.135738249810121
TC,2,PLTR,0.135964278215079
TC,3,LRR,0.14616274811151
TC,3,GAM,0.145726590586306
TC,3,LDA,0.147301946340865
TC,3,CTREE,0.140565135252814
TC,3,RF,0.140779922965208
TC,3,LGBM,0.141669962220778
TC,3,RE_boosting,0.138797542581985
TC,3,RE_RF,0.13979187649055
TC,3,RE_bag,0.139205121790478
TC,3,SRE_RF,0.138569709577686
TC,3,SRE_bag,0.140973294428127
TC,3,SRE_boosting,0.13708087724004
TC,3,SRE_PLTR,0.139942530447348
TC,3,PLTR,0.140244531058096
TC,4,LRR,0.144250536169818
TC,4,GAM,0.146396973356595
TC,4,LDA,0.145484034352118
TC,4,CTREE,0.138848279720116
TC,4,RF,0.140178278881561
TC,4,LGBM,0.143522180349838
TC,4,RE_boosting,0.138859409729725
TC,4,RE_RF,0.138838345212237
TC,4,RE_bag,0.138139566872707
TC,4,SRE_RF,0.137626677777883
TC,4,SRE_bag,0.138865553151696
TC,4,SRE_boosting,0.136581218606892
TC,4,SRE_PLTR,0.138412613292811
TC,4,PLTR,0.138785063385708
TC,5,LRR,0.147228364226627
TC,5,GAM,0.147124323792879
TC,5,LDA,0.148794463907026
TC,5,CTREE,0.142999442064188
TC,5,RF,0.142166629066031
TC,5,LGBM,0.142946662951018
TC,5,RE_boosting,0.14031922782708
TC,5,RE_RF,0.141451752063286
TC,5,RE_bag,0.141019873700388
TC,5,SRE_RF,0.141606476435556
TC,5,SRE_bag,0.141690022818931
TC,5,SRE_boosting,0.140936485456638
TC,5,SRE_PLTR,0.139901842998039
TC,5,PLTR,0.140348317418392
TC,6,LRR,0.142489995594776
TC,6,GAM,0.142145290115354
TC,6,LDA,0.14353668086585
TC,6,CTREE,0.134760191984702
TC,6,RF,0.137839358618388
TC,6,LGBM,0.13638101910529
TC,6,RE_boosting,0.13541062997311001
TC,6,RE_RF,0.135240998917405
TC,6,RE_bag,0.135765359031803
TC,6,SRE_RF,0.13640833183552
TC,6,SRE_bag,0.136550440798309
TC,6,SRE_boosting,0.134842171827531
TC,6,SRE_PLTR,0.136214610093214
TC,6,PLTR,0.13663040477653
TH02,1,LRR,0.184670660301724
TH02,1,GAM,0.191982745299583
TH02,1,LDA,0.187769404048865
TH02,1,CTREE,0.182033411563632
TH02,1,RF,0.184339197369964
TH02,1,LGBM,0.192912850650644
TH02,1,RE_boosting,0.19835159925871
TH02,1,RE_RF,0.186596883646371
TH02,1,RE_bag,0.196998952791091
TH02,1,SRE_RF,0.188511692036478
TH02,1,SRE_bag,0.192912850650644
TH02,1,SRE_boosting,0.189664703214954
TH02,1,SRE_PLTR,0.18915089165176
TH02,1,PLTR,0.189601113243718
TH02,2,LRR,0.194839285609667
TH02,2,GAM,0.210097547795768
TH02,2,LDA,0.198857699312524
TH02,2,CTREE,0.195784456261501
TH02,2,RF,0.197493324958703
TH02,2,LGBM,0.238185976700547
TH02,2,RE_boosting,0.207241323931235
TH02,2,RE_RF,0.198631404894713
TH02,2,RE_bag,0.198794504038229
TH02,2,SRE_RF,0.192755562655421
TH02,2,SRE_bag,0.190403171217972
TH02,2,SRE_boosting,0.194215835907291
TH02,2,SRE_PLTR,0.202028159916339
TH02,2,PLTR,0.202018351860515
TH02,3,LRR,0.186495640371094
TH02,3,GAM,0.213106745000165
TH02,3,LDA,0.191872486388656
TH02,3,CTREE,0.186828254754664
TH02,3,RF,0.19290785162435
TH02,3,LGBM,0.190742632142667
TH02,3,RE_boosting,0.197158352925657
TH02,3,RE_RF,0.196672679824434
TH02,3,RE_bag,0.198649728822474
TH02,3,SRE_RF,0.190860148320047
TH02,3,SRE_bag,0.194073135712288
TH02,3,SRE_boosting,0.189533877059261
TH02,3,SRE_PLTR,0.188060023727237
TH02,3,PLTR,0.186580990090344
TH02,4,LRR,0.194882922098574
TH02,4,GAM,0.207171677764044
TH02,4,LDA,0.202682259676675
TH02,4,CTREE,0.194413538217893
TH02,4,RF,0.195368751857378
TH02,4,LGBM,0.201317391285844
TH02,4,RE_boosting,0.191813008644128
TH02,4,RE_RF,0.191392195880087
TH02,4,RE_bag,0.196333547342895
TH02,4,SRE_RF,0.206182559610731
TH02,4,SRE_bag,0.186358794217772
TH02,4,SRE_boosting,0.188778356270083
TH02,4,SRE_PLTR,0.189008123336564
TH02,4,PLTR,0.18904055287088
TH02,5,LRR,0.194689407029741
