dataset,nr_fold,algorithm,metric.x
LC,1,SRE_PLTR,0.0252941176470589
LC,1,PLTR,0.167955326460481
LC,2,LRR,0.136363636363636
LC,2,GAM,0.140958098505268
LC,2,LDA,0.286587098607559
LC,2,CTREE,0.0781509665004809
LC,2,RF,0.145954627584822
LC,2,LGBM,0.11535752025361
LC,2,RE_boosting,0.0891554387117977
LC,2,RE_RF,0.0887131560028755
LC,2,RE_bag,0.156932773109244
LC,2,SRE_RF,0.118055555555556
LC,2,SRE_bag,0.0351213282247764
LC,2,SRE_boosting,0.0673076923076923
LC,2,SRE_PLTR,-0.00304203539823011
LC,2,PLTR,0.00327988338192409
LC,3,LRR,0.157894736842105
LC,3,GAM,0.253597883597884
LC,3,LDA,0.286474593405287
LC,3,CTREE,-0.00769165391806892
LC,3,RF,0.193595784567057
LC,3,LGBM,0.149358597728163
LC,3,RE_boosting,0.207378363927998
LC,3,RE_RF,0.19625646559744
LC,3,RE_bag,0.248129154795822
LC,3,SRE_RF,0.036842105263158
LC,3,SRE_bag,0.0177095631641087
LC,3,SRE_boosting,0.188631790744467
LC,3,SRE_PLTR,0.0135746606334841
LC,3,PLTR,0.438461538461538
LC,4,LRR,0
LC,4,GAM,-0.030054461104014
LC,4,LDA,0.0613410796417333
LC,4,CTREE,0.0788555052514444
LC,4,RF,0.181034482758621
LC,4,LGBM,0.151492440883835
LC,4,RE_boosting,0.161330732985038
LC,4,RE_RF,0.175369627866182
LC,4,RE_bag,0.155368657134847
LC,4,SRE_RF,0.212784604769985
LC,4,SRE_bag,0.160163646990064
LC,4,SRE_boosting,0.0968983169940107
LC,4,SRE_PLTR,-0.384615384615385
LC,4,PLTR,0.326923076923077
LC,5,LRR,0.251127819548872
LC,5,GAM,0.178740014524328
LC,5,LDA,0.264392324093817
LC,5,CTREE,0
LC,5,RF,0.115377604957774
LC,5,LGBM,0.158950911284689
LC,5,RE_boosting,0.115103184130795
LC,5,RE_RF,0.215337234370188
LC,5,RE_bag,0.128586252348768
LC,5,SRE_RF,0.0786026200873362
LC,5,SRE_bag,0.16405529953917
LC,5,SRE_boosting,0.100663423264042
LC,5,SRE_PLTR,0.148465538709441
LC,5,PLTR,0.253284072249589
LC,6,LRR,0.461382113821138
LC,6,GAM,0.0689499774673277
LC,6,LDA,0.0767180658671236
LC,6,CTREE,0.0446893174165903
LC,6,RF,0.0178819002348414
LC,6,LGBM,0.197321709432436
LC,6,RE_boosting,0.0921287376007993
LC,6,RE_RF,0.0175813008130081
LC,6,RE_bag,0.18282274895647
LC,6,SRE_RF,0
LC,6,SRE_bag,0.5
LC,6,SRE_boosting,0.100746268656716
LC,6,SRE_PLTR,0
LC,6,PLTR,0.45
PAKDD,3,LRR,0.225811103265592
PAKDD,3,GAM,0.220570415116442
PAKDD,3,LDA,0.217007510786555
PAKDD,3,CTREE,0.207039165161907
PAKDD,3,RF,0.192150174951572
PAKDD,3,LGBM,0.213349726500196
PAKDD,3,RE_boosting,0.218512707211513
PAKDD,3,RE_RF,0.228669170247481
PAKDD,3,RE_bag,0.219401381852301
PAKDD,3,SRE_RF,0.225485114197103
PAKDD,3,SRE_bag,0.225485114197103
PAKDD,3,SRE_boosting,0.219739921198606
PAKDD,3,SRE_PLTR,0.225485114197103
PAKDD,3,PLTR,0.223736549002213
PAKDD,4,LRR,0.223970907415651
PAKDD,4,GAM,0.216471615724951
PAKDD,4,LDA,0.218012882983112
PAKDD,4,CTREE,0.203210651650534
PAKDD,4,RF,0.203228848444672
PAKDD,4,LGBM,0.213419638093831
PAKDD,4,RE_boosting,0.22491145020365
PAKDD,4,RE_RF,0.206026570742476
PAKDD,4,RE_bag,0.211693270834375
PAKDD,4,SRE_RF,0.222733819364273
PAKDD,4,SRE_bag,0.222733819364273
PAKDD,4,SRE_boosting,0.224434646570611
PAKDD,4,SRE_PLTR,0.222733819364273
PAKDD,4,PLTR,0.22066687238121
PAKDD,5,LRR,0.228499365776846
PAKDD,5,GAM,0.217245567192952
PAKDD,5,LDA,0.216092797465247
PAKDD,5,CTREE,0.202984946820397
PAKDD,5,RF,0.187053244702494
PAKDD,5,LGBM,0.218721396085472
PAKDD,5,RE_boosting,0.206494716522024
PAKDD,5,RE_RF,0.213845998175089
PAKDD,5,RE_bag,0.21514945644069
PAKDD,5,SRE_RF,0.223402269009404
PAKDD,5,SRE_bag,0.223402269009404
PAKDD,5,SRE_boosting,0.223323667563908
PAKDD,5,SRE_PLTR,0.223402269009404
PAKDD,5,PLTR,0.222275910748988
PAKDD,6,LRR,0.22222840698335
PAKDD,6,GAM,0.215476346003372
PAKDD,6,LDA,0.217263160470083
PAKDD,6,CTREE,0.201086755118134
PAKDD,6,RF,0.192681297860574
PAKDD,6,LGBM,0.215533008888715
PAKDD,6,RE_boosting,0.219941167509738
PAKDD,6,RE_RF,0.218139484917572
PAKDD,6,RE_bag,0.223452630218884
PAKDD,6,SRE_RF,0.223648756712623
PAKDD,6,SRE_bag,0.223648756712623
PAKDD,6,SRE_boosting,0.223030751610384
PAKDD,6,SRE_PLTR,0.223648756712623
PAKDD,6,PLTR,0.222054527646172
TC,1,LRR,0.426373349017805
TC,1,GAM,0.287646710779295
TC,1,LDA,0.176814799238585
TC,1,CTREE,0.296744049902541
TC,1,RF,0.253969136936838
TC,1,LGBM,0.303861554331445
TC,1,RE_boosting,0.281402918765692
TC,1,RE_RF,0.289877224988906
TC,1,RE_bag,0.284129237483076
TC,1,SRE_RF,0.302802051462658
TC,1,SRE_bag,0.40779710481102
